"Backup Manager","Zaxira boshqaruvi",
"Backup","Zaxira",
"Backup Center","Zaxira markazi",
"Backup Import","Zaxirani yuklab olish",
"Backup Export","Zaxirani tiklash",
"Backup Archive","Zaxira arxivi",
"Backup Console","Zaxira konsoli",
"Warning:","Ogohlantirish:",
"Restore will overwrite the current database. A pre-restore backup is stored in Archive automatically.","Tiklash joriy bazani ustidan yozadi. Tiklashdan oldingi zaxira arxivga avtomatik saqlanadi.",
"Import (Download Backup)","Zaxirani yuklab olish",
"Creates a fresh backup of database and files, then provides download links.","Ma'lumotlar bazasi va fayllarning yangi zaxirasini yaratadi, so'ng yuklab olish havolalarini beradi.",
"Create Backup","Zaxira yaratish",
"Export (Restore)","Tiklash (Zaxira yuklash)",
"Upload a backup file to restore this site. Current data will be archived first.","Zaxira faylini yuklab, saytni tiklang. Joriy ma'lumotlar avval arxivga saqlanadi.",
"DB backup (.sql.gz)","DB zaxirasi (.sql.gz)",
"Upload","Yuklash",
"Public files (optional)","Ommaviy fayllar (ixtiyoriy)",
"Private files (optional)","Maxfiy fayllar (ixtiyoriy)",
"DB root password (optional)","DB root paroli (ixtiyoriy)",
"Admin password (optional)","Admin paroli (ixtiyoriy)",
"Start Restore","Tiklashni boshlash",
"Archive","Arxiv",
"Refresh","Yangilash",
"Upload DB Backup","DB zaxirasini yuklash",
"Upload Public Files","Ommaviy fayllarni yuklash",
"Upload Private Files","Maxfiy fayllarni yuklash",
"Preparing backup...","Zaxira tayyorlanmoqda...",
"Download bundle","Paketni yuklab olish",
"Download DB backup","DB zaxirasini yuklab olish",
"Backup created.","Zaxira yaratildi.",
"Backup created and archived.","Zaxira yaratildi va arxivga saqlandi.",
"Missing DB file","DB fayli yo'q",
"Please upload the database backup file first.","Avval ma'lumotlar bazasi zaxira faylini yuklang.",
"Restore will overwrite the current database. Continue?","Tiklash joriy bazani ustidan yozadi. Davom etilsinmi?",
"Restore started. The site will be in maintenance mode.","Tiklash boshlandi. Sayt texnik xizmat rejimida bo'ladi.",
"View restore log","Tiklash logini ko'rish",
"Restore started","Tiklash boshlandi",
"Restore from archive {0}? Current data will be overwritten.","Arxivdan tiklansinmi: {0}? Joriy ma'lumotlar ustidan yoziladi.",
"Restore started from archive.","Arxivdan tiklash boshlandi.",
"Loading archive...","Arxiv yuklanmoqda...",
"No archived backups yet.","Hozircha arxivlangan zaxira yo'q.",
"Bundle","Paket",
"DB","DB",
"Public","Ommaviy",
"Private","Maxfiy",
"Config","Konfiguratsiya",
"Log","Log",
"No files","Fayl yo'q",
"Restore","Tiklash",
"Title","Sarlavha",
"Source","Manba",
"Status","Holat",
"Created On","Yaratilgan vaqt",
"Files","Fayllar",
"Actions","Amallar",
"Archive path must be inside the site's private folder.","Arxiv yo'li saytning private papkasi ichida bo'lishi kerak.",
"Invalid archive path.","Arxiv yo'li noto'g'ri.",
"Database backup file not found.","Ma'lumotlar bazasi zaxira fayli topilmadi.",
"Database backup must be a .sql or .sql.gz file.","Ma'lumotlar bazasi zaxirasi .sql yoki .sql.gz bo'lishi kerak.",
"Invalid file path.","Fayl yo'li noto'g'ri.",
"Only files uploaded to this site can be restored.","Faqat shu saytga yuklangan fayllarni tiklash mumkin.",
"Invalid file location.","Fayl joylashuvi noto'g'ri.",
"Uploaded file not found.","Yuklangan fayl topilmadi.",
"Bench command not found in PATH.","Bench buyrug'i PATH'da topilmadi.",
"DB backup file is required.","DB zaxira fayli talab qilinadi.",
"Archive is missing a database backup file.","Arxivda ma'lumotlar bazasi zaxira fayli yo'q.",
"Backup Manager app is not installed on this site.","Backup Manager ilovasi bu saytga o'rnatilmagan.",
"Please install the app and reload this page.","Iltimos, ilovani o'rnating va sahifani qayta yuklang.",
"You do not have permission to access Backup Manager.","Backup Manager bo'limiga kirish huquqingiz yo'q.",
"System Manager role is required.","System Manager roli talab qilinadi.",
